lat,lon,cooplabmst_ID,DSP_sample_ID,DSP_Pedon_ID,DSP_Pedon,layer_no,KSSL_labsampnum,pedon_ID,DSP_Plot_ID,Pedon_Num,UserPedonID,laydesg_ID,hzdesg,top_cm,bottom_cm,soc_pct_mass,measured_bulk_density_g_cm3,gee_point_id
39.9519869,-100.89697,1,KeCF3-1-1,KeCF3-1,S2018KS153101,1,19N02620,141,KeCF3,,,1.0,Ap1,0.0,5.0,1.89,1.298786803,dsp4sh_000091
39.9519869,-100.89697,2,KeCF3-1-2,KeCF3-1,S2018KS153101,2,19N02621,141,KeCF3,,,2.0,Ap1,5.0,10.0,1.05,1.347896905,dsp4sh_000091
39.9519869,-100.89697,3,KeCF3-1-3,KeCF3-1,S2018KS153101,3,19N02622,141,KeCF3,,,3.0,Ap2,10.0,23.0,0.89,1.394038814,dsp4sh_000091
39.9519869,-100.89697,4,KeCF3-1-4,KeCF3-1,S2018KS153101,4,19N02623,141,KeCF3,,,4.0,Bt1,23.0,40.0,0.72,1.358523671,dsp4sh_000091
39.9519869,-100.89697,5,KeCF3-1-5,KeCF3-1,S2018KS153101,5,19N02624,141,KeCF3,,,5.0,Bt2,40.0,57.0,0.58,1.30281053,dsp4sh_000091
39.9519869,-100.89697,6,KeCF3-1-6,KeCF3-1,S2018KS153101,6,19N02625,141,KeCF3,,,6.0,Btk1,57.0,74.0,0.48,1.370904369,dsp4sh_000091
39.9519869,-100.89697,7,KeCF3-1-7,KeCF3-1,S2018KS153101,7,19N02626,141,KeCF3,,,7.0,Btk2,74.0,100.0,0.44,1.017617978,dsp4sh_000091
39.9521612,-100.8967806,8,KeCF3-2-1,KeCF3-2,S2018KS153102,1,19N02627,142,KeCF3,,,8.0,Ap1,0.0,5.0,1.65,0.859426784,dsp4sh_000092
39.9521612,-100.8967806,9,KeCF3-2-2,KeCF3-2,S2018KS153102,2,19N02628,142,KeCF3,,,9.0,Ap1,5.0,10.0,1.01,1.422439024,dsp4sh_000092
39.9521612,-100.8967806,10,KeCF3-2-3,KeCF3-2,S2018KS153102,3,19N02629,142,KeCF3,,,10.0,Ap2,10.0,21.0,1.07,1.393180246,dsp4sh_000092
39.9521612,-100.8967806,11,KeCF3-2-4,KeCF3-2,S2018KS153102,4,19N02630,142,KeCF3,,,11.0,Bt1,21.0,36.0,0.67,1.199981955,dsp4sh_000092
39.9521612,-100.8967806,12,KeCF3-2-5,KeCF3-2,S2018KS153102,5,19N02631,142,KeCF3,,,12.0,Bt2,36.0,52.0,0.56,1.353542374,dsp4sh_000092
39.9521612,-100.8967806,13,KeCF3-2-6,KeCF3-2,S2018KS153102,6,19N02632,142,KeCF3,,,13.0,Btk1,52.0,75.0,0.57,1.244338646,dsp4sh_000092
39.9521612,-100.8967806,14,KeCF3-2-7,KeCF3-2,S2018KS153102,7,19N02633,142,KeCF3,,,14.0,Btk2,75.0,100.0,0.78,1.237749962,dsp4sh_000092
39.9521612,-100.8967806,15,KeCF3-3-1,KeCF3-3,S2018KS153103,1,19N02634,143,KeCF3,,,15.0,Ap1,0.0,5.0,1.63,1.114623921,dsp4sh_000092
39.9521612,-100.8967806,16,KeCF3-3-2,KeCF3-3,S2018KS153103,2,19N02635,143,KeCF3,,,16.0,Ap1,5.0,10.0,1.01,1.454009804,dsp4sh_000092
39.9521612,-100.8967806,17,KeCF3-3-3,KeCF3-3,S2018KS153103,3,19N02636,143,KeCF3,,,17.0,Ap2,10.0,21.0,0.8,0.788611771,dsp4sh_000092
39.9521612,-100.8967806,18,KeCF3-3-4,KeCF3-3,S2018KS153103,4,19N02637,143,KeCF3,,,18.0,Bt1,21.0,37.0,0.59,1.274615425,dsp4sh_000092
39.9521612,-100.8967806,19,KeCF3-3-5,KeCF3-3,S2018KS153103,5,19N02638,143,KeCF3,,,19.0,Bt2,37.0,50.0,0.54,1.268902496,dsp4sh_000092
39.9521612,-100.8967806,20,KeCF3-3-6,KeCF3-3,S2018KS153103,6,19N02639,143,KeCF3,,,20.0,Btk1,50.0,83.0,0.72,1.281685964,dsp4sh_000092
39.9521612,-100.8967806,21,KeCF3-3-7,KeCF3-3,S2018KS153103,7,19N02640,143,KeCF3,,,21.0,Btk2,83.0,100.0,0.61,,dsp4sh_000092
39.978288,-100.868944,22,KeC3-1-1,KeC3-1,S2018KS153104,1,19N02641,144,KeC3,,,22.0,Ap1,0.0,5.0,3.79,1.3557896,dsp4sh_000096
39.978288,-100.868944,23,KeC3-1-2,KeC3-1,S2018KS153104,2,19N02642,144,KeC3,,,23.0,Ap1,5.0,10.0,3.73,1.3557896,dsp4sh_000096
39.978288,-100.868944,24,KeC3-1-3,KeC3-1,S2018KS153104,3,19N02643,144,KeC3,,,24.0,Ap2,10.0,23.0,0.96,1.319496695,dsp4sh_000096
